Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
3.500000	2.90887   	3.500000	1.49281   	3.500000	1.51526   	3.500000	1.51526   	3.500000	1.51527   	3.500000	1.49173   	3.500000	0.00107216	
4.000000	2.65443   	4.000000	1.37875   	4.000000	1.41402   	4.000000	1.41402   	4.000000	1.41402   	4.000000	1.37779   	4.000000	0.000956012	
4.500000	2.44324   	4.500000	1.28161   	4.500000	1.32661   	4.500000	1.32661   	4.500000	1.32661   	4.500000	1.28075   	4.500000	0.000863799	
5.000000	2.26502   	5.000000	1.19751   	5.000000	1.25044   	5.000000	1.25044   	5.000000	1.25044   	5.000000	1.19672   	5.000000	0.000788699	
5.500000	2.11254   	5.500000	1.14244   	5.500000	1.18349   	5.500000	1.18349   	5.500000	1.18349   	5.500000	1.14172   	5.500000	0.000726276	
6.000000	1.98053   	6.000000	1.09394   	6.000000	1.12416   	6.000000	1.12416   	6.000000	1.12416   	6.000000	1.09327   	6.000000	0.000673516	
6.500000	1.86508   	6.500000	1.05085   	6.500000	1.07123   	6.500000	1.07123   	6.500000	1.07123   	6.500000	1.05022   	6.500000	0.000628298	
7.000000	1.76322   	7.000000	1.0123    	7.000000	1.02368   	7.000000	1.02368   	7.000000	1.02368   	7.000000	1.01171   	7.000000	0.000589087	
7.500000	1.67266   	7.500000	0.971866  	7.500000	0.980727  	7.500000	0.980727  	7.500000	0.980728  	7.500000	0.971312  	7.500000	0.000554739	
8.000000	1.59158   	8.000000	0.935168  	8.000000	0.941714  	8.000000	0.941714  	8.000000	0.941715  	8.000000	0.934644  	8.000000	0.000524386	
8.500000	1.51855   	8.500000	0.901693  	8.500000	0.90611   	8.500000	0.90611   	8.500000	0.906111  	8.500000	0.901195  	8.500000	0.000497358	
9.000000	1.45241   	9.000000	0.871021  	9.000000	0.873473  	9.000000	0.873473  	9.000000	0.873474  	9.000000	0.870548  	9.000000	0.000473126	
9.500000	1.39222   	9.500000	0.842804  	9.500000	0.843437  	9.500000	0.843437  	9.500000	0.843438  	9.500000	0.842353  	9.500000	0.000451272	
10.000000	1.33719   	10.000000	0.822274  	10.000000	0.815693  	10.000000	0.815693  	10.000000	0.815694  	10.000000	0.821842  	10.000000	0.000431454	
11.000000	1.24016   	11.000000	0.775942  	11.000000	0.767545  	11.000000	0.768361  	11.000000	0.767739  	11.000000	0.775546  	11.000000	0.000396869	
12.000000	1.15727   	12.000000	0.73433   	12.000000	0.725327  	12.000000	0.726677  	12.000000	0.725608  	12.000000	0.733962  	12.000000	0.000367678	
13.000000	1.0856    	13.000000	0.696901  	13.000000	0.687961  	13.000000	0.689657  	13.000000	0.688268  	13.000000	0.696558  	13.000000	0.000342691	
14.000000	1.02299   	14.000000	0.663142  	14.000000	0.654616  	14.000000	0.656537  	14.000000	0.654922  	14.000000	0.662821  	14.000000	0.000321046	
