Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
8.500000	1.51855   	8.500000	1.51248   	8.500000	1.5231    	8.500000	1.5231    	8.500000	1.5231    	8.500000	1.51172   	8.500000	0.00076476	
9.000000	1.45241   	9.000000	1.44985   	9.000000	1.45952   	9.000000	1.45952   	9.000000	1.45952   	9.000000	1.44912   	9.000000	0.000726738	
9.500000	1.39222   	9.500000	1.39261   	9.500000	1.40138   	9.500000	1.40138   	9.500000	1.40138   	9.500000	1.39192   	9.500000	0.000692489	
10.000000	1.33719   	10.000000	1.34947   	10.000000	1.34802   	10.000000	1.34802   	10.000000	1.34802   	10.000000	1.34881   	10.000000	0.000661471	
11.000000	1.24016   	11.000000	1.25581   	11.000000	1.25198   	11.000000	1.25292   	11.000000	1.25229   	11.000000	1.2552    	11.000000	0.000607428	
12.000000	1.15727   	12.000000	1.1749    	12.000000	1.16941   	12.000000	1.17096   	12.000000	1.16984   	12.000000	1.17434   	12.000000	0.000561906	
13.000000	1.0856    	13.000000	1.10434   	13.000000	1.09764   	13.000000	1.09958   	13.000000	1.09811   	13.000000	1.10381   	13.000000	0.000523011	
14.000000	1.02299   	14.000000	1.04226   	14.000000	1.03466   	14.000000	1.03686   	14.000000	1.03513   	14.000000	1.04177   	14.000000	0.000489374	
15.000000	0.967789  	15.000000	0.987222  	15.000000	0.978937  	15.000000	0.981307  	15.000000	0.97939   	15.000000	0.986762  	15.000000	0.000459982	
16.000000	0.918748  	16.000000	0.938096  	16.000000	0.92931   	16.000000	0.931756  	16.000000	0.929721  	16.000000	0.937662  	16.000000	0.000434069	
17.000000	0.874874  	17.000000	0.893976  	17.000000	0.884834  	17.000000	0.887284  	17.000000	0.885181  	17.000000	0.893565  	17.000000	0.000411042	
18.000000	0.835377  	18.000000	0.854131  	18.000000	0.844708  	18.000000	0.847148  	18.000000	0.845011  	18.000000	0.85374   	18.000000	0.000390439	
19.000000	0.799626  	19.000000	0.817966  	19.000000	0.808326  	19.000000	0.810747  	19.000000	0.808608  	19.000000	0.817594  	19.000000	0.00037189	
