Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
1.750000	4.54334   	1.750000	3.80931   	1.750000	3.66623   	1.750000	3.66623   	1.750000	3.66624   	1.750000	3.80633   	1.750000	0.00297871	
2.000000	4.18214   	2.000000	3.53638   	2.000000	3.45175   	2.000000	3.45175   	2.000000	3.45175   	2.000000	3.53373   	2.000000	0.00265314	
2.250000	3.8817    	2.250000	3.30513   	2.250000	3.26209   	2.250000	3.26209   	2.250000	3.26209   	2.250000	3.30274   	2.250000	0.00239503	
2.500000	3.61506   	2.500000	3.1104    	2.500000	3.09298   	2.500000	3.09298   	2.500000	3.09298   	2.500000	3.10822   	2.500000	0.00218505	
3.000000	3.22152   	3.000000	2.796     	3.000000	2.80429   	3.000000	2.80429   	3.000000	2.8043    	3.000000	2.79414   	3.000000	0.00186345	
3.500000	2.90887   	3.500000	2.54806   	3.500000	2.56711   	3.500000	2.56711   	3.500000	2.56711   	3.500000	2.54643   	3.500000	0.0016281 	
4.000000	2.65443   	4.000000	2.34653   	4.000000	2.36893   	4.000000	2.36893   	4.000000	2.36893   	4.000000	2.34508   	4.000000	0.00144798	
4.500000	2.44324   	4.500000	2.17863   	4.500000	2.20095   	4.500000	2.20095   	4.500000	2.20095   	4.500000	2.17732   	4.500000	0.00130543	
5.000000	2.26502   	5.000000	2.03587   	5.000000	2.05678   	5.000000	2.05678   	5.000000	2.05678   	5.000000	2.03468   	5.000000	0.00118965	
5.500000	2.11254   	5.500000	1.91263   	5.500000	1.93168   	5.500000	1.93168   	5.500000	1.93168   	5.500000	1.91153   	5.500000	0.00109364	
6.000000	1.98053   	6.000000	1.80494   	6.000000	1.82207   	6.000000	1.82207   	6.000000	1.82208   	6.000000	1.80393   	6.000000	0.00101267	
6.500000	1.86508   	6.500000	1.70992   	6.500000	1.72523   	6.500000	1.72523   	6.500000	1.72523   	6.500000	1.70898   	6.500000	0.000943396	
7.000000	1.76322   	7.000000	1.62538   	7.000000	1.63901   	7.000000	1.63901   	7.000000	1.63902   	7.000000	1.6245    	7.000000	0.000883427	
7.500000	1.67266   	7.500000	1.54961   	7.500000	1.56174   	7.500000	1.56174   	7.500000	1.56174   	7.500000	1.54878   	7.500000	0.000830977	
8.000000	1.59158   	8.000000	1.48129   	8.000000	1.49205   	8.000000	1.49205   	8.000000	1.49205   	8.000000	1.4805    	8.000000	0.000784693	
8.500000	1.51855   	8.500000	1.41933   	8.500000	1.42888   	8.500000	1.42888   	8.500000	1.42888   	8.500000	1.41858   	8.500000	0.000743532	
