Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.450000	6.93545   	0.450000	5.26733   	0.450000	4.98647   	0.450000	4.98647   	0.450000	4.98647   	0.450000	5.25846   	0.450000	0.00886521	
0.500000	6.91602   	0.500000	5.21874   	0.500000	4.92955   	0.500000	4.92955   	0.500000	4.92955   	0.500000	5.21062   	0.500000	0.00811804	
0.600000	6.6087    	0.600000	5.11082   	0.600000	4.81187   	0.600000	4.81187   	0.600000	4.81187   	0.600000	5.10385   	0.600000	0.00696598	
0.700000	6.26348   	0.700000	4.98831   	0.700000	4.67998   	0.700000	4.67998   	0.700000	4.67998   	0.700000	4.98219   	0.700000	0.00611646	
0.800000	6.13024   	0.800000	4.85213   	0.800000	4.54923   	0.800000	4.54923   	0.800000	4.54924   	0.800000	4.84667   	0.800000	0.00546228	
0.900000	5.98304   	0.900000	4.71633   	0.900000	4.42335   	0.900000	4.42335   	0.900000	4.42335   	0.900000	4.71139   	0.900000	0.0049419 	
1.000000	5.82829   	1.000000	4.58344   	1.000000	4.30212   	1.000000	4.30212   	1.000000	4.30212   	1.000000	4.57892   	1.000000	0.00451739	
1.250000	5.38646   	1.250000	4.23881   	1.250000	4.01345   	1.250000	4.01345   	1.250000	4.01346   	1.250000	4.23508   	1.250000	0.00373196	
1.500000	4.93154   	1.500000	3.89421   	1.500000	3.74352   	1.500000	3.74352   	1.500000	3.74352   	1.500000	3.89102   	1.500000	0.00319034	
1.750000	4.54334   	1.750000	3.60815   	1.750000	3.51169   	1.750000	3.51169   	1.750000	3.51169   	1.750000	3.60535   	1.750000	0.00279283	
2.000000	4.18214   	2.000000	3.34275   	2.000000	3.30848   	2.000000	3.30848   	2.000000	3.30848   	2.000000	3.34026   	2.000000	0.00248788	
2.250000	3.8817    	2.250000	3.11983   	2.250000	3.12825   	2.250000	3.12825   	2.250000	3.12826   	2.250000	3.11758   	2.250000	0.00224606	
2.500000	3.61506   	2.500000	2.93331   	2.500000	2.96714   	2.500000	2.96714   	2.500000	2.96714   	2.500000	2.93126   	2.500000	0.00204933	
3.000000	3.22152   	3.000000	2.63433   	3.000000	2.69124   	3.000000	2.69124   	3.000000	2.69125   	3.000000	2.63258   	3.000000	0.00174796	
3.500000	2.90887   	3.500000	2.40023   	3.500000	2.46383   	3.500000	2.46383   	3.500000	2.46383   	3.500000	2.39871   	3.500000	0.00152738	
4.000000	2.65443   	4.000000	2.21088   	4.000000	2.27338   	4.000000	2.27338   	4.000000	2.27338   	4.000000	2.20952   	4.000000	0.00135853	
4.500000	2.44324   	4.500000	2.05367   	4.500000	2.11167   	4.500000	2.11167   	4.500000	2.11168   	4.500000	2.05244   	4.500000	0.00122489	
5.000000	2.26502   	5.000000	1.92031   	5.000000	1.97271   	5.000000	1.97271   	5.000000	1.97271   	5.000000	1.91919   	5.000000	0.00111634	
5.500000	2.11254   	5.500000	1.80538   	5.500000	1.85201   	5.500000	1.85201   	5.500000	1.85201   	5.500000	1.80435   	5.500000	0.00102631	
6.000000	1.98053   	6.000000	1.70507   	6.000000	1.74619   	6.000000	1.74619   	6.000000	1.74619   	6.000000	1.70412   	6.000000	0.000950376	
6.500000	1.86508   	6.500000	1.61664   	6.500000	1.65263   	6.500000	1.65263   	6.500000	1.65263   	6.500000	1.61576   	6.500000	0.000885413	
7.000000	1.76322   	7.000000	1.538     	7.000000	1.56929   	7.000000	1.56929   	7.000000	1.5693    	7.000000	1.53717   	7.000000	0.00082917	
7.500000	1.67266   	7.500000	1.46756   	7.500000	1.49458   	7.500000	1.49458   	7.500000	1.49458   	7.500000	1.46678   	7.500000	0.000779976	
8.000000	1.59158   	8.000000	1.40404   	8.000000	1.42719   	8.000000	1.42719   	8.000000	1.42719   	8.000000	1.4033    	8.000000	0.000736562	
8.500000	1.51855   	8.500000	1.34645   	8.500000	1.36608   	8.500000	1.36608   	8.500000	1.36608   	8.500000	1.34575   	8.500000	0.000697951	
9.000000	1.45241   	9.000000	1.29396   	9.000000	1.3104    	9.000000	1.3104    	9.000000	1.3104    	9.000000	1.29329   	9.000000	0.000663376	
9.500000	1.39222   	9.500000	1.2459    	9.500000	1.25944   	9.500000	1.25944   	9.500000	1.25944   	9.500000	1.24527   	9.500000	0.000632225	
10.000000	1.33719   	10.000000	1.21329   	10.000000	1.21262   	10.000000	1.21262   	10.000000	1.21262   	10.000000	1.21269   	10.000000	0.000604006	
11.000000	1.24016   	11.000000	1.13225   	11.000000	1.12878   	11.000000	1.12968   	11.000000	1.12905   	11.000000	1.13169   	11.000000	0.000554826	
12.000000	1.15727   	12.000000	1.06177   	12.000000	1.05649   	12.000000	1.058     	12.000000	1.05689   	12.000000	1.06126   	12.000000	0.000513385	
13.000000	1.0856    	13.000000	0.999969  	13.000000	0.993512  	13.000000	0.995397  	13.000000	0.99394   	13.000000	0.999491  	13.000000	0.000477966	
14.000000	1.02299   	14.000000	0.945348  	14.000000	0.938112  	14.000000	0.940247  	14.000000	0.938538  	14.000000	0.9449    	14.000000	0.000447326	
15.000000	0.967789  	15.000000	0.896739  	15.000000	0.88898   	15.000000	0.891279  	15.000000	0.889395  	15.000000	0.896319  	15.000000	0.000420546	
16.000000	0.918748  	16.000000	0.853209  	16.000000	0.845127  	16.000000	0.847499  	16.000000	0.845503  	16.000000	0.852812  	16.000000	0.000396929	
17.000000	0.874874  	17.000000	0.814004  	17.000000	0.805742  	17.000000	0.808118  	17.000000	0.806059  	17.000000	0.813628  	17.000000	0.000375939	
18.000000	0.835377  	18.000000	0.77851   	18.000000	0.770133  	18.000000	0.7725    	18.000000	0.770409  	18.000000	0.778153  	18.000000	0.000357153	
19.000000	0.799626  	19.000000	0.746225  	19.000000	0.73778   	19.000000	0.740128  	19.000000	0.738038  	19.000000	0.745884  	19.000000	0.000340237	
20.000000	0.767103  	20.000000	0.71673   	20.000000	0.708285  	20.000000	0.710576  	20.000000	0.708514  	20.000000	0.716406  	20.000000	0.000324921	
21.000000	0.737382  	21.000000	0.689679  	21.000000	0.681285  	21.000000	0.683491  	21.000000	0.681465  	21.000000	0.689368  	21.000000	0.000310985	
22.000000	0.710112  	22.000000	0.664778  	22.000000	0.65646   	22.000000	0.658575  	22.000000	0.656607  	22.000000	0.66448   	22.000000	0.000298248	
23.000000	0.684997  	23.000000	0.64178   	23.000000	0.63355   	23.000000	0.635581  	23.000000	0.633675  	23.000000	0.641493  	23.000000	0.000286559	
24.000000	0.661786  	24.000000	0.620472  	24.000000	0.612342  	24.000000	0.614294  	24.000000	0.612462  	24.000000	0.620196  	24.000000	0.000275791	
25.000000	0.640267  	25.000000	0.600674  	25.000000	0.592658  	25.000000	0.594534  	25.000000	0.59278   	25.000000	0.600408  	25.000000	0.00026584	
27.000000	0.601606  	27.000000	0.565004  	27.000000	0.557287  	27.000000	0.558988  	27.000000	0.557403  	27.000000	0.564756  	27.000000	0.000248033	
29.000000	0.567839  	29.000000	0.53375   	29.000000	0.526438  	29.000000	0.527924  	29.000000	0.526515  	29.000000	0.533517  	29.000000	0.000232556	
31.000000	0.538078  	31.000000	0.506132  	31.000000	0.499444  	31.000000	0.500661  	31.000000	0.499491  	31.000000	0.505913  	31.000000	0.000218975	
33.000000	0.511639  	33.000000	0.481546  	33.000000	0.475544  	33.000000	0.476514  	33.000000	0.475603  	33.000000	0.481339  	33.000000	0.000206957	
35.000000	0.487986  	35.000000	0.459513  	35.000000	0.454125  	35.000000	0.454879  	35.000000	0.454182  	35.000000	0.459317  	35.000000	0.000196243	
38.000000	0.456822  	38.000000	0.430435  	38.000000	0.425848  	38.000000	0.426326  	38.000000	0.425887  	38.000000	0.430253  	38.000000	0.000182181	
41.000000	0.429883  	41.000000	0.405259  	41.000000	0.401357  	41.000000	0.401598  	41.000000	0.401358  	41.000000	0.405089  	41.000000	0.000170076	
44.000000	0.406349  	44.000000	0.383241  	44.000000	0.37986   	44.000000	0.37996   	44.000000	0.379878  	44.000000	0.383082  	44.000000	0.000159541	
47.000000	0.385603  	47.000000	0.363816  	47.000000	0.360908  	47.000000	0.360859  	47.000000	0.360902  	47.000000	0.363665  	47.000000	0.000150286	
50.000000	0.367168  	50.000000	0.346545  	50.000000	0.344033  	50.000000	0.343864  	50.000000	0.344009  	50.000000	0.346403  	50.000000	0.000142087	
55.000000	0.340603  	55.000000	0.321649  	55.000000	0.319627  	55.000000	0.319339  	55.000000	0.319613  	55.000000	0.321518  	55.000000	0.000130316	
60.000000	0.318163  	60.000000	0.300617  	60.000000	0.298972  	60.000000	0.298594  	60.000000	0.29896   	60.000000	0.300497  	60.000000	0.000120415	
65.000000	0.298941  	65.000000	0.282607  	65.000000	0.281225  	65.000000	0.280804  	65.000000	0.281239  	65.000000	0.282495  	65.000000	0.000111967	
70.000000	0.282278  	70.000000	0.267003  	70.000000	0.265871  	70.000000	0.265371  	70.000000	0.265857  	70.000000	0.266898  	70.000000	0.000104669	
75.000000	0.267685  	75.000000	0.253349  	75.000000	0.252366  	75.000000	0.25185   	75.000000	0.252374  	75.000000	0.25325   	75.000000	9.82998e-05	
80.000000	0.254792  	80.000000	0.241297  	80.000000	0.240464  	80.000000	0.239902  	80.000000	0.240454  	80.000000	0.241204  	80.000000	9.26896e-05	
85.000000	0.243313  	85.000000	0.230578  	85.000000	0.229832  	85.000000	0.229263  	85.000000	0.229836  	85.000000	0.23049   	85.000000	8.77089e-05	
90.000000	0.233021  	90.000000	0.22098   	90.000000	0.220333  	90.000000	0.219727  	90.000000	0.220316  	90.000000	0.220897  	90.000000	8.32562e-05	
95.000000	0.223739  	95.000000	0.212334  	95.000000	0.211736  	95.000000	0.211129  	95.000000	0.211731  	95.000000	0.212255  	95.000000	7.92506e-05	
100.000000	0.21532   	100.000000	0.204505  	100.000000	0.203944  	100.000000	0.203336  	100.000000	0.203947  	100.000000	0.204429  	100.000000	7.56273e-05	
105.000000	0.207647  	105.000000	0.19738   	105.000000	0.196845  	105.000000	0.196238  	105.000000	0.196855  	105.000000	0.197308  	105.000000	7.23333e-05	
110.000000	0.200624  	110.000000	0.190868  	110.000000	0.190375  	110.000000	0.189746  	110.000000	0.190368  	110.000000	0.190799  	110.000000	6.9325e-05	
115.000000	0.194168  	115.000000	0.184892  	115.000000	0.18442   	115.000000	0.183784  	115.000000	0.184409  	115.000000	0.184825  	115.000000	6.65665e-05	
120.000000	0.188213  	120.000000	0.179388  	120.000000	0.178921  	120.000000	0.17829   	120.000000	0.178917  	120.000000	0.179324  	120.000000	6.40275e-05	
125.000000	0.1827    	125.000000	0.174302  	125.000000	0.17384   	125.000000	0.173211  	125.000000	0.173837  	125.000000	0.174241  	125.000000	6.16823e-05	
130.000000	0.177582  	130.000000	0.169588  	130.000000	0.169127  	130.000000	0.168499  	130.000000	0.169127  	130.000000	0.169528  	130.000000	5.95094e-05	
135.000000	0.172815  	135.000000	0.165206  	135.000000	0.164743  	135.000000	0.164118  	135.000000	0.164744  	135.000000	0.165148  	135.000000	5.74902e-05	
140.000000	0.168365  	140.000000	0.161121  	140.000000	0.160656  	140.000000	0.160033  	140.000000	0.160659  	140.000000	0.161066  	140.000000	5.56088e-05	
145.000000	0.164199  	145.000000	0.157306  	145.000000	0.156836  	145.000000	0.156215  	145.000000	0.156838  	145.000000	0.157252  	145.000000	5.38513e-05	
150.000000	0.160291  	150.000000	0.153732  	150.000000	0.153257  	150.000000	0.152639  	150.000000	0.15326   	150.000000	0.15368   	150.000000	5.22057e-05	
155.000000	0.154789  	155.000000	0.150379  	155.000000	0.149897  	155.000000	0.149281  	155.000000	0.149901  	155.000000	0.150328  	155.000000	5.06616e-05	
160.000000	0.151563  	160.000000	0.147226  	160.000000	0.146737  	160.000000	0.146124  	160.000000	0.146741  	160.000000	0.147177  	160.000000	4.92096e-05	
165.000000	0.148522  	165.000000	0.144256  	165.000000	0.143759  	165.000000	0.143149  	165.000000	0.143763  	165.000000	0.144208  	165.000000	4.78417e-05	
170.000000	0.145649  	170.000000	0.141453  	170.000000	0.140949  	170.000000	0.14034   	170.000000	0.140952  	170.000000	0.141406  	170.000000	4.65507e-05	
175.000000	0.14293   	175.000000	0.138803  	175.000000	0.138292  	175.000000	0.137686  	175.000000	0.138295  	175.000000	0.138758  	175.000000	4.53303e-05	
180.000000	0.140354  	180.000000	0.136295  	180.000000	0.135776  	180.000000	0.135172  	180.000000	0.135779  	180.000000	0.136251  	180.000000	4.41746e-05	
185.000000	0.137908  	185.000000	0.133917  	185.000000	0.13339   	185.000000	0.132789  	185.000000	0.133392  	185.000000	0.133874  	185.000000	4.30786e-05	
190.000000	0.135585  	190.000000	0.131659  	190.000000	0.131124  	190.000000	0.130525  	190.000000	0.131126  	190.000000	0.131617  	190.000000	4.20378e-05	
195.000000	0.133373  	195.000000	0.129513  	195.000000	0.12897   	195.000000	0.128374  	195.000000	0.128972  	195.000000	0.129472  	195.000000	4.1048e-05	
200.000000	0.131266  	200.000000	0.127469  	200.000000	0.12692   	200.000000	0.126326  	200.000000	0.126921  	200.000000	0.127429  	200.000000	4.01055e-05	
210.000000	0.127336  	210.000000	0.123665  	210.000000	0.123102  	210.000000	0.122512  	210.000000	0.123102  	210.000000	0.123626  	210.000000	3.83493e-05	
220.000000	0.123744  	220.000000	0.120194  	220.000000	0.119619  	220.000000	0.119034  	220.000000	0.119618  	220.000000	0.120157  	220.000000	3.6746e-05	
230.000000	0.120448  	230.000000	0.117016  	230.000000	0.11643   	230.000000	0.115849  	230.000000	0.116427  	230.000000	0.11698   	230.000000	3.52762e-05	
240.000000	0.117413  	240.000000	0.114094  	240.000000	0.113498  	240.000000	0.112922  	240.000000	0.113495  	240.000000	0.11406   	240.000000	3.39236e-05	
250.000000	0.114608  	250.000000	0.1114    	250.000000	0.110798  	250.000000	0.110223  	250.000000	0.110791  	250.000000	0.111367  	250.000000	3.26746e-05	
260.000000	0.112009  	260.000000	0.108907  	260.000000	0.108293  	260.000000	0.107728  	260.000000	0.108291  	260.000000	0.108876  	260.000000	3.15177e-05	
270.000000	0.109593  	270.000000	0.106595  	270.000000	0.105965  	270.000000	0.105414  	270.000000	0.105972  	270.000000	0.106564  	270.000000	3.04428e-05	
280.000000	0.107342  	280.000000	0.104444  	280.000000	0.103811  	280.000000	0.103262  	280.000000	0.103815  	280.000000	0.104414  	280.000000	2.94414e-05	
290.000000	0.10524   	290.000000	0.102438  	290.000000	0.101803  	290.000000	0.101257  	290.000000	0.101806  	290.000000	0.10241   	290.000000	2.85062e-05	
300.000000	0.103271  	300.000000	0.100564  	300.000000	0.099927  	300.000000	0.0993839 	300.000000	0.0999283 	300.000000	0.100537  	300.000000	2.76308e-05	
310.000000	0.101425  	310.000000	0.098809  	310.000000	0.0981713 	310.000000	0.097631  	310.000000	0.0981712 	310.000000	0.0987822 	310.000000	2.68094e-05	
320.000000	0.0996896 	320.000000	0.0971621 	320.000000	0.0965247 	320.000000	0.095987  	320.000000	0.0965232 	320.000000	0.097136  	320.000000	2.60372e-05	
330.000000	0.0980555 	330.000000	0.0956138 	330.000000	0.0949772 	330.000000	0.0944426 	330.000000	0.0949749 	330.000000	0.0955885 	330.000000	2.53099e-05	
340.000000	0.0965143 	340.000000	0.0941558 	340.000000	0.0935216 	340.000000	0.0929892 	340.000000	0.0935178 	340.000000	0.0941312 	340.000000	2.46235e-05	
350.000000	0.0950584 	350.000000	0.0927806 	350.000000	0.0921502 	350.000000	0.0916191 	350.000000	0.092144  	350.000000	0.0927566 	350.000000	2.39748e-05	
360.000000	0.0936809 	360.000000	0.0914815 	360.000000	0.0908506 	360.000000	0.0903258 	360.000000	0.0908472 	360.000000	0.0914582 	360.000000	2.33605e-05	
370.000000	0.0923759 	370.000000	0.0902525 	370.000000	0.0896186 	370.000000	0.0891031 	370.000000	0.0896214 	370.000000	0.0902298 	370.000000	2.27781e-05	
380.000000	0.0911379 	380.000000	0.0890883 	380.000000	0.0884566 	380.000000	0.0879457 	380.000000	0.0884605 	380.000000	0.0890661 	380.000000	2.22251e-05	
390.000000	0.089962  	390.000000	0.0879841 	390.000000	0.0873585 	390.000000	0.0868487 	390.000000	0.0873604 	390.000000	0.0879624 	390.000000	2.16993e-05	
400.000000	0.0888437 	400.000000	0.0869354 	400.000000	0.086316  	400.000000	0.0858076 	400.000000	0.0863164 	400.000000	0.0869142 	400.000000	2.11987e-05	
410.000000	0.087779  	410.000000	0.0859384 	410.000000	0.0853247 	410.000000	0.0848185 	410.000000	0.0853243 	410.000000	0.0859176 	410.000000	2.07215e-05	
420.000000	0.0867644 	420.000000	0.0849894 	420.000000	0.0843817 	420.000000	0.0838777 	420.000000	0.0843807 	420.000000	0.0849691 	420.000000	2.0266e-05	
430.000000	0.0857964 	430.000000	0.0840852 	430.000000	0.0834845 	430.000000	0.082982  	430.000000	0.0834824 	430.000000	0.0840654 	430.000000	1.98309e-05	
440.000000	0.084872  	440.000000	0.0832229 	440.000000	0.0826301 	440.000000	0.0821284 	440.000000	0.0826262 	440.000000	0.0832035 	440.000000	1.94148e-05	
450.000000	0.0839886 	450.000000	0.0823998 	450.000000	0.081814  	450.000000	0.0813142 	450.000000	0.0818093 	450.000000	0.0823808 	450.000000	1.90163e-05	
460.000000	0.0831435 	460.000000	0.0816133 	460.000000	0.0810318 	460.000000	0.0805367 	460.000000	0.0810294 	460.000000	0.0815947 	460.000000	1.86345e-05	
470.000000	0.0823344 	470.000000	0.0808612 	470.000000	0.0802826 	470.000000	0.0797938 	470.000000	0.0802843 	470.000000	0.080843  	470.000000	1.82683e-05	
480.000000	0.0815592 	480.000000	0.0801415 	480.000000	0.0795676 	480.000000	0.0790833 	480.000000	0.0795714 	480.000000	0.0801235 	480.000000	1.79167e-05	
490.000000	0.0808159 	490.000000	0.0794521 	490.000000	0.0788859 	490.000000	0.0784033 	490.000000	0.0788891 	490.000000	0.0794345 	490.000000	1.75789e-05	
500.000000	0.0801027 	500.000000	0.0787913 	500.000000	0.078234  	500.000000	0.0777519 	500.000000	0.0782356 	500.000000	0.0787741 	500.000000	1.72541e-05	
520.000000	0.0787599 	520.000000	0.0775493 	520.000000	0.0770085 	520.000000	0.0765287 	520.000000	0.0770083 	520.000000	0.0775326 	520.000000	1.66403e-05	
540.000000	0.077519  	540.000000	0.0764036 	540.000000	0.075879  	540.000000	0.0754018 	540.000000	0.0758776 	540.000000	0.0763876 	540.000000	1.60702e-05	
560.000000	0.0763694 	560.000000	0.0753444 	560.000000	0.0748359 	560.000000	0.0743612 	560.000000	0.0748334 	560.000000	0.0753288 	560.000000	1.55392e-05	
580.000000	0.0753022 	580.000000	0.0743628 	580.000000	0.0738692 	580.000000	0.0733978 	580.000000	0.0738665 	580.000000	0.0743477 	580.000000	1.50434e-05	
600.000000	0.0743097 	600.000000	0.0734513 	600.000000	0.0729699 	600.000000	0.0725042 	600.000000	0.0729698 	600.000000	0.0734367 	600.000000	1.45793e-05	
620.000000	0.0733848 	620.000000	0.0726034 	620.000000	0.0721338 	620.000000	0.0716736 	620.000000	0.072136  	620.000000	0.0725892 	620.000000	1.4144e-05	
640.000000	0.0725217 	640.000000	0.0718132 	640.000000	0.071358  	640.000000	0.0709001 	640.000000	0.0713597 	640.000000	0.0717994 	640.000000	1.37348e-05	
660.000000	0.071715  	660.000000	0.0710756 	660.000000	0.0706352 	660.000000	0.0701785 	660.000000	0.0706354 	660.000000	0.0710622 	660.000000	1.33494e-05	
680.000000	0.07096   	680.000000	0.0703861 	680.000000	0.0699593 	680.000000	0.0695043 	680.000000	0.0699586 	680.000000	0.0703731 	680.000000	1.29858e-05	
700.000000	0.0702524 	700.000000	0.0697407 	700.000000	0.0693271 	700.000000	0.0688734 	700.000000	0.0693253 	700.000000	0.069728  	700.000000	1.26422e-05	
720.000000	0.0695886 	720.000000	0.0691358 	720.000000	0.0687351 	720.000000	0.0682822 	720.000000	0.0687317 	720.000000	0.0691234 	720.000000	1.23169e-05	
740.000000	0.0689652 	740.000000	0.0685682 	740.000000	0.0681835 	740.000000	0.0677331 	740.000000	0.0681803 	740.000000	0.0685561 	740.000000	1.20085e-05	
760.000000	0.0683791 	760.000000	0.068035  	760.000000	0.0676681 	760.000000	0.0672224 	760.000000	0.0676676 	760.000000	0.0680233 	760.000000	1.17157e-05	
780.000000	0.0678277 	780.000000	0.0675337 	780.000000	0.0671831 	780.000000	0.0667422 	780.000000	0.0671853 	780.000000	0.0675222 	780.000000	1.14373e-05	
800.000000	0.0673084 	800.000000	0.0670619 	800.000000	0.0667286 	800.000000	0.0662901 	800.000000	0.0667313 	800.000000	0.0670507 	800.000000	1.11723e-05	
820.000000	0.0668192 	820.000000	0.0666175 	820.000000	0.0663018 	820.000000	0.0658642 	820.000000	0.0663035 	820.000000	0.0666066 	820.000000	1.09197e-05	
840.000000	0.0663578 	840.000000	0.0661986 	840.000000	0.0658995 	840.000000	0.0654625 	840.000000	0.0659001 	840.000000	0.066188  	840.000000	1.06787e-05	
860.000000	0.0659226 	860.000000	0.0658035 	860.000000	0.0655193 	860.000000	0.0650833 	860.000000	0.0655191 	860.000000	0.0657931 	860.000000	1.04484e-05	
880.000000	0.0655118 	880.000000	0.0654306 	880.000000	0.0651599 	880.000000	0.064725  	880.000000	0.0651593 	880.000000	0.0654204 	880.000000	1.02283e-05	
900.000000	0.0651239 	900.000000	0.0650784 	900.000000	0.0648204 	900.000000	0.0643863 	900.000000	0.0648191 	900.000000	0.0650684 	900.000000	1.00175e-05	
920.000000	0.0647574 	920.000000	0.0647457 	920.000000	0.0644995 	920.000000	0.0640658 	920.000000	0.064497  	920.000000	0.0647359 	920.000000	9.8155e-06	
940.000000	0.0644112 	940.000000	0.0644311 	940.000000	0.0641952 	940.000000	0.0637624 	940.000000	0.0641922 	940.000000	0.0644215 	940.000000	9.62179e-06	
960.000000	0.0640839 	960.000000	0.0641337 	960.000000	0.0639061 	960.000000	0.0634749 	960.000000	0.0639033 	960.000000	0.0641242 	960.000000	9.43584e-06	
980.000000	0.0637746 	980.000000	0.0638523 	980.000000	0.0636308 	980.000000	0.0632023 	980.000000	0.0636295 	980.000000	0.063843  	980.000000	9.25718e-06	
1000.000000	0.0634821 	1000.000000	0.063586  	1000.000000	0.0633692 	1000.000000	0.0629438 	1000.000000	0.0633697 	1000.000000	0.063577  	1000.000000	9.0854e-06	
